,0
1231,1
1232,1
1233,1
1234,0
1235,5
1236,1
1237,2
1238,0
1239,0
1240,0
1241,1
1242,0
1243,0
1244,1
1245,1
1246,2
1247,5
1248,0
1249,0
1250,1
1251,1
1252,1
1253,1
1254,0
1255,1
1256,1
1257,5
1258,0
1259,1
1260,1
1261,1
1262,0
1263,0
1264,1
1265,0
1266,1
1267,1
1268,1
1269,0
1270,0
1271,0
1272,0
1273,1
1274,0
1275,0
1276,2
1277,1
1278,0
1279,5
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,2
1287,1
1288,1
1289,0
1290,2
1291,1
1292,0
1293,0
1294,1
1295,1
1296,1
1297,0
1298,6
1299,2
1300,1
1301,2
1302,0
1303,2
1304,0
1305,2
1306,1
1307,0
1308,1
1309,0
1310,2
1311,1
1312,1
1313,1
1314,5
1315,0
1316,1
1317,0
1318,0
1319,1
1320,1
1321,0
1322,0
1323,0
1324,1
1325,1
1326,2
1327,1
1328,0
1329,0
1330,1
1331,2
1332,1
1333,2
1334,0
1335,2
1336,0
1337,1
1338,2
1339,0
1340,0
1341,1
1342,1
1343,1
1344,1
1345,0
1346,2
1347,0
1348,5
1349,0
1350,1
1351,1
1352,1
1353,1
1354,1
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,1
1362,5
1363,1
1364,0
1365,1
1366,0
1367,0
1368,0
1369,0
1370,1
1371,2
1372,5
1373,1
1374,2
1375,0
1376,0
1377,0
1378,1
1379,2
1380,0
1381,0
1382,1
1383,0
1384,1
1385,2
1386,1
1387,0
1388,2
1389,0
1390,2
1391,0
1392,0
1393,5
1394,2
1395,0
1396,0
1397,1
1398,1
1399,2
1400,1
1401,4
1402,0
1403,0
1404,1
1405,2
1406,0
1407,1
1408,1
1409,1
1410,0
1411,1
1412,2
1413,2
1414,1
1415,2
1416,1
1417,1
1418,2
1419,1
1420,1
1421,2
1422,0
1423,1
1424,0
1425,1
1426,1
1427,0
1428,1
1429,0
1430,2
1431,2
1432,2
1433,0
1434,0
1435,0
1436,1
1437,1
1438,1
1439,1
1440,0
1441,1
1442,2
1443,0
1444,1
1445,0
1446,0
1447,1
1448,0
1449,0
1450,0
1451,1
1452,4
1453,1
1454,1
1455,1
1456,0
1457,0
1458,0
1459,1
1460,1
1461,1
1462,1
1463,2
1464,0
1465,0
1466,2
1467,0
1468,1
1469,2
1470,2
1471,1
1472,2
1473,0
1474,1
1475,1
1476,0
1477,1
1478,1
1479,0
1480,0
1481,5
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,2
1489,0
1490,0
1491,1
1492,1
1493,0
1494,0
1495,6
1496,1
1497,0
1498,2
1499,1
1500,0
1501,0
1502,0
1503,1
1504,1
1505,2
1506,1
1507,1
1508,0
1509,2
1510,0
1511,0
1512,1
1513,1
1514,5
1515,2
1516,1
1517,5
1518,2
1519,1
1520,5
1521,2
1522,1
1523,1
1524,1
1525,1
1526,1
1527,0
1528,2
1529,1
1530,4
1531,2
1532,1
1533,2
1534,2
1535,2
1536,0
1537,2
1538,2
1539,6
1540,1
1541,2
1542,2
1543,0
1544,0
1545,1
1546,0
1547,1
1548,2
1549,1
1550,1
1551,5
1552,0
1553,2
1554,1
1555,1
1556,1
1557,1
1558,0
1559,1
1560,5
1561,1
1562,0
1563,0
1564,0
1565,1
1566,1
1567,1
1568,0
1569,2
1570,2
1571,2
1572,1
1573,0
1574,1
1575,1
1576,1
1577,0
1578,0
1579,1
1580,1
1581,0
1582,1
1583,0
1584,2
1585,0
1586,0
1587,0
1588,1
1589,0
1590,1
1591,0
1592,2
1593,1
1594,1
1595,1
1596,1
1597,0
1598,2
1599,0
1600,1
1601,0
1602,1
1603,1
1604,0
1605,1
1606,0
1607,2
1608,2
1609,6
1610,0
1611,0
1612,1
1613,5
1614,0
1615,1
1616,0
1617,0
1618,1
1619,1
1620,0
1621,1
1622,2
1623,1
1624,0
